SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
427,Manilkara chicle,NA,Manilkara,2,Manilkara chicle,(Pittier) Gilly,Manilkara,2,kew-120131,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Manilkara chicle,
428,Manilkara littoralis,NA,Manilkara,2,Manilkara littoralis,(Kurz) Dubard,Manilkara,2,kew-120190,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Manilkara littoralis,
501,Manilkara spectabilis,NA,Manilkara,2,Manilkara spectabilis,(Pittier) Standl.,Manilkara,2,kew-120249,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Manilkara spectabilis,
429,Manilkara staminodella,NA,Manilkara,2,Manilkara staminodella,Gilly,Manilkara,2,kew-120251,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Manilkara staminodella,
502,Manilkara zapota,NA,Manilkara,2,Manilkara zapota,(L.) P.Royen,Manilkara,2,kew-120271,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Manilkara zapota,
151,Maquira coriacea,NA,Maquira,2,Maquira coriacea,(H.Karst.) C.C.Berg,Maquira,2,kew-2501258,1,FALSE,0.8,0,NA,NA,NA,NA,Moraceae,NA,Maquira coriacea,
360,Margaritaria nobilis,NA,Margaritaria,2,Margaritaria nobilis,L.f.,Margaritaria,2,kew-120587,1,FALSE,0.8,0,NA,NA,NA,NA,Phyllanthaceae,NA,Margaritaria nobilis,
361,Martiodendron parviflorum,NA,Martiodendron,2,Martiodendron parviflorum,(Amshoff) R.C.Koeppen,Martiodendron,2,ild-15735,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Martiodendron parviflorum,Multiple results
362,Matisia bicolor,NA,Matisia,2,Matisia bicolor,Ducke,Matisia,2,tro-3900081,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Matisia bicolor,
508,Melanochyla auriculata,NA,Melanochyla,2,Melanochyla auriculata,Hook.f.,Melanochyla,2,kew-2364876,1,FALSE,0.8,0,NA,NA,NA,NA,Anacardiaceae,NA,Melanochyla auriculata,
